"","Date","Ring","Species","Age","Sex","Pit","Num.caught","PIT.year","hatch.year","Age.in.2021"
"1215",2017-11-29,"C3T0063","GRETI",4,"M","0110178E1B",2,2017,2016,"adult"
"1216",2019-12-03,"C3T0063","GRETI",6,"","0110178E1B",2,2019,2017,"adult"
"1218",2019-01-12,"C3T0706","GRETI",5,"M","0110178E1E",1,2019,2018,"adult"
"1219",2019-01-28,"C3T0742","GRETI",5,"M","0110178E23",1,2019,2018,"adult"
"1220",2017-12-01,"C3T0281","GRETI",3,"F","0110178E27",1,2017,2017,"adult"
"1222",2017-12-09,"C3T0294","GRETI",3,"F","0110178E2F",1,2017,2017,"adult"
"1223",2019-02-27,"C3T0789","GRETI",5,"F","0110178E4B",1,2019,2018,"adult"
"1225",2019-02-05,"C3T0750","GRETI",5,"F","0110178E4F",1,2019,2018,"adult"
"1226",2017-11-24,"C3T0240","GRETI",3,"","0110178E50",2,2017,2017,"adult"
"1227",2017-12-09,"C3T0240","GRETI",3,"F","0110178E50",2,2017,2017,"adult"
"1228",2019-01-16,"C3T0721","GRETI",5,"F","0110178E52",1,2019,2018,"adult"
"1231",2019-02-05,"C3T0745","GRETI",5,"F","0110178E5D",1,2019,2018,"adult"
"1232",2017-12-01,"C3Z0271","GRETI",3,"M","0110178E66",1,2017,2017,"adult"
"1233",2019-11-27,"B4R7641","BLUTI",6,"F","0110178E74",1,2019,2017,"adult"
"1237",2018-01-10,"B4R7269","BLUTI",6,"M","0110178E8C",1,2018,2016,"adult"
"1238",2020-11-17,"B5H0104","BLUTI",3,"F","0110178E92",1,2020,2020,"first.year"
"1239",2020-09-16,"B4R7791","MARTI",2,"","0110178E93",3,2020,2020,"first.year"
"1240",2020-11-06,"B4R7791","MARTI",2,"","0110178E93",3,2020,2020,"first.year"
"1241",2020-11-11,"B4R7791","MARTI",2,"","0110178E93",3,2020,2020,"first.year"
"1242",2020-11-06,"B5H0022","BLUTI",3,"F","0110178E94",1,2020,2020,"first.year"
"1243",2019-12-02,"B4R7665","BLUTI",5,"F","0110178E9E",1,2019,2018,"adult"
"1245",2020-02-12,"B4R7709","BLUTI",6,"F","0110178EA5",1,2020,2018,"adult"
"1246",2017-12-09,"B4R7257","BLUTI",4,"F","0110178EA7",1,2017,2016,"adult"
"1247",2019-11-11,"B4R7607","GRETI",6,"M","0110178EAB",1,2019,2017,"adult"
"1251",2017-11-23,"B4R7121","BLUTI",3,"M","0110178EB6",3,2017,2017,"adult"
"1252",2017-12-09,"B4R7121","BLUTI",3,"M","0110178EB6",3,2017,2017,"adult"
"1253",2020-10-27,"B4R7800","BLUTI",4,"","0110178EB9",1,2020,2019,"adult"
"1254",2018-01-10,"B4R7275","BLUTI",5,"F","0110178EBD",2,2018,2017,"adult"
"1255",2019-10-18,"B4R7275","BLUTI",6,"","0110178EBD",2,2019,2017,"adult"
"1256",2019-02-27,"B4R7443","BLUTI",5,"M","0110178EBE",1,2019,2018,"adult"
"1257",2020-05-08,"B4R7728","BLUTI",6,"M","0110178EC0",1,2020,2018,"adult"
"1258",2018-08-03,"C3T0579","GRETI",3,"        ","0110178EC2",2,2018,2018,"adult"
"1259",2019-02-27,"C3T0579","GRETI",5,"F","0110178EC2",2,2019,2018,"adult"
"1260",2018-12-13,"B1V6963","BLUTI",6,"F","0110178EC4",2,2018,2016,"adult"
"1261",2019-02-25,"B1V6963","BLUTI",6,"F","0110178EC4",2,2019,2017,"adult"
"1263",2017-11-24,"B4R7224","BLUTI",3,"F","0110178EC7",1,2017,2017,"adult"
"1264",2017-05-12,"C3T0195","GRETI",6,"M","0110178EC9",4,2017,2015,"adult"
"1265",2017-11-29,"C3T0195","GRETI",4,"M","0110178EC9",4,2017,2016,"adult"
"1266",2018-05-14,"C3T0195","GRETI",6,"M","0110178EC9",4,2018,2016,"adult"
"1267",2019-03-11,"C3T0195","GRETI",6,"M","0110178EC9",4,2019,2017,"adult"
"1268",2019-01-10,"C3T0695","GRETI",6,"M","0110178ECA",1,2019,2017,"adult"
"1269",2017-12-09,"C3T0288","GRETI",3,"M","0110178EDE",2,2017,2017,"adult"
"1270",2018-07-12,"C3T0288","GRETI",4,"M","0110178EDE",2,2018,2017,"adult"
"1273",2019-01-28,"C3T0741","GRETI",5,"F","0110178EF4",1,2019,2018,"adult"
"1278",2018-07-12,"C3T0395","GRETI",3,"","0110178F09",4,2018,2018,"adult"
"1279",2018-08-03,"C3T0395","GRETI",3,"","0110178F09",4,2018,2018,"adult"
"1280",2018-10-31,"C3T0395","GRETI",5,"M","0110178F09",4,2018,2017,"adult"
"1281",2018-11-07,"C3T0395","GRETI",5,"M","0110178F09",4,2018,2017,"adult"
"1282",2017-12-01,"C3T0275","GRETI",3,"F","0110178F0F",3,2017,2017,"adult"
"1283",2017-12-01,"C3T0275","GRETI",3,"F","0110178F0F",3,2017,2017,"adult"
"1284",2018-01-21,"C3T0275","GRETI",5,"F","0110178F0F",3,2018,2017,"adult"
"1286",2017-02-03,"B4R7087","BLUTI",5,"M","0110178F1C",1,2017,2016,"adult"
"1287",2018-05-16,"B4R7299","BLUTI",6,"F","0110178F22",2,2018,2016,"adult"
"1288",2019-03-11,"B4R7299","BLUTI",6,"F","0110178F22",2,2019,2017,"adult"
"1289",2018-05-17,"B4R7047","BLUTI",6,"","0110178F29",1,2018,2016,"adult"
"1291",2017-12-01,"C3T0269","GRETI",4,"M","0110178F38",1,2017,2016,"adult"
"1292",2019-11-13,"B4R7614","BLUTI",7,"F","0110178F39",3,2019,2017,"adult"
"1293",2019-12-31,"B4R7614","BLUTI",5,"F","0110178F39",3,2019,2018,"adult"
"1298",2018-01-25,"B4R7286","BLUTI",5,"M","0110178F49",1,2018,2017,"adult"
"1301",2020-11-17,"B4A1653","BLUTI",3,"M","0110178F64",1,2020,2020,"first.year"
"1302",2018-08-10,"B4R7399","BLUTI",3,"","0110178F68",1,2018,2018,"adult"
"1303",2018-01-21,"B4R7279","BLUTI",5,"M","0110178F69",1,2018,2017,"adult"
"1304",2017-12-09,"C3T0291","GRETI",3,"F","0110178F6A",2,2017,2017,"adult"
"1305",2018-01-21,"C3T0291","GRETI",5,"M","0110178F6A",2,2018,2017,"adult"
"1306",2019-12-02,"B4R7662","BLUTI",5,"F","0110178F6B",1,2019,2018,"adult"
"1307",2017-01-13,"B4R7076","BLUTI",6,"F","0110178F6D",3,2017,2015,"adult"
"1308",2018-05-16,"B4R7076","BLUTI",6,"F","0110178F6D",3,2018,2016,"adult"
"1309",2018-11-07,"B4R7076","BLUTI",6,"F","0110178F6D",3,2018,2016,"adult"
"1311",2017-12-09,"B4R7252","BLUTI",3,"F","0110178F70",1,2017,2017,"adult"
"1313",2020-10-21,"B4R7798","MARTI",2,"","0110178F76",3,2020,2020,"first.year"
"1314",2020-10-28,"B4R7798","MARTI",2,"","0110178F76",3,2020,2020,"first.year"
"1315",2020-11-17,"B4R7798","MARTI",2,"","0110178F76",3,2020,2020,"first.year"
"1316",2018-10-18,"B4R7367","BLUTI",5,"F","0110178F78",1,2018,2017,"adult"
"1318",2018-05-14,"B4R7293","BLUTI",6,"M","0110178F89",1,2018,2016,"adult"
"1320",2019-01-10,"C3T0690","GRETI",5,"M","0110178F97",1,2019,2018,"adult"
"1322",2018-12-13,"C3T0686","GRETI",6,"M","0110178FAC",1,2018,2016,"adult"
"1323",2017-12-09,"C3T0289","GRETI",3,"F","0110178FAE",1,2017,2017,"adult"
"1324",2019-01-16,"C3T0720","GRETI",5,"M","0110178FB0",1,2019,2018,"adult"
"1326",2018-01-10,"C3T0327","GRETI",5,"F","0110178FBA",1,2018,2017,"adult"
"1328",2018-01-21,"C3T0331","GRETI",5,"F","0110178FC3",2,2018,2017,"adult"
"1329",2018-01-25,"C3T0331","GRETI",5,"F","0110178FC3",2,2018,2017,"adult"
"1330",2017-12-01,"B4R7240","BLUTI",3,"F","0110178FC4",1,2017,2017,"adult"
"1332",2020-09-02,"B4R7898","BLUTI",3,"F","0110178FC9",3,2020,2020,"first.year"
"1333",2020-11-10,"B4R7898","BLUTI",3,"F","0110178FC9",3,2020,2020,"first.year"
"1336",2019-11-15,"B4R7620","BLUTI",6,"","0110178FCD",1,2019,2017,"adult"
"1337",2019-12-28,"B4R7687","BLUTI",5,"F","0110178FD0",1,2019,2018,"adult"
"1339",2019-11-13,"B4R7610","MARTI",2,"","0110178FDA",1,2019,2019,"adult"
"1340",2017-01-13,"B4R7078","BLUTI",6,"","0110178FE0",6,2017,2015,"adult"
"1341",2017-02-11,"B4R7078","BLUTI",6,"M","0110178FE0",6,2017,2015,"adult"
"1342",2017-05-07,"B4R7078","BLUTI",6,"M","0110178FE0",6,2017,2015,"adult"
"1343",2018-05-16,"B4R7078","BLUTI",6,"M","0110178FE0",6,2018,2016,"adult"
"1344",2019-03-05,"B4R7078","BLUTI",6,"M","0110178FE0",6,2019,2017,"adult"
"1345",2020-11-23,"B4R7078","BLUTI",4,"M","0110178FE0",6,2020,2019,"adult"
"1346",2020-08-18,"B4R7895","MARTI",4,"","0110178FE6",3,2020,2019,"adult"
"1347",2020-08-19,"B4R7895","MARTI",4,"","0110178FE6",3,2020,2019,"adult"
"1350",2019-12-29,"B4R7696","BLUTI",6,"M","0110178FEE",1,2019,2017,"adult"
"1353",2019-11-27,"B4R7634","BLUTI",6,"F","0110178FF9",1,2019,2017,"adult"
"1354",2020-11-06,"B5H0026","BLUTI",4,"M","0110178FFE",1,2020,2019,"adult"
"1356",2018-10-31,"C3T0660","GRETI",5,"F","011017900B",1,2018,2017,"adult"
"1357",2018-09-06,"B4R7395","BLUTI",3,"","011017900F",1,2018,2018,"adult"
"1360",2020-11-25,"B4A1798","BLUTI",3,"F","0110179012",1,2020,2020,"first.year"
"1363",2017-11-29,"B4R7230","BLUTI",3,"N","011017901D",1,2017,2017,"adult"
"1364",2020-02-12,"B4R7705","BLUTI",5,"F","011017901E",1,2020,2019,"adult"
"1365",2018-01-25,"C3T0349","GRETI",5,"M","011017901F",4,2018,2017,"adult"
"1366",2019-07-31,"C3T0349","GRETI",4,"M","011017901F",4,2019,2018,"adult"
"1367",2020-05-14,"C3T0349","GRETI",5,"M","011017901F",4,2020,2019,"adult"
"1369",2020-11-13,"BH0058","BLUTI",4,"F","0110179020",1,2020,2019,"adult"
"1371",2019-12-03,"B4R7767","BLUTI",5,"F","011017902B",1,2019,2018,"adult"
"1372",2019-03-11,"C3T0198","GRETI",6,"M","0110179046",1,2019,2017,"adult"
"1374",2019-02-19,"C3T0766","GRETI",5,"F","011017904B",1,2019,2018,"adult"
"1375",2017-12-09,"C3T0299","GRETI",3,"M","011017904E",1,2017,2017,"adult"
"1376",2018-11-07,"C3T0673","GRETI",6,"M","0110179062",2,2018,2016,"adult"
"1377",2019-05-13,"C3T0673","GRETI",6,"M","0110179062",2,2019,2017,"adult"
"1378",2017-11-24,"C3L9894","GRETI",4,"M","011017906A",3,2017,2016,"adult"
"1379",2018-01-10,"C3L9894","GRETI",6,"M","011017906A",3,2018,2016,"adult"
"1380",2018-01-21,"C3L9894","GRETI",6,"M","011017906A",3,2018,2016,"adult"
"1381",2019-12-03,"B4R7670","BLUTI",6,"F","011017906B",1,2019,2017,"adult"
"1382",2020-10-28,"B5H0003","BLUTI",4,"M","0110179071",1,2020,2019,"adult"
"1386",2020-11-17,"B4A1876","BLUTI",3,"F","0110179079",1,2020,2020,"first.year"
"1387",2019-02-12,"C3T0760","GRETI",6,"M","011017907B",1,2019,2017,"adult"
"1388",2018-10-18,"B4R7415","BLUTI",5,"M","0110179081",1,2018,2017,"adult"
"1389",2020-11-03,"B5H0011","BLUTI",3,"M","0110179086",1,2020,2020,"first.year"
"1390",2019-11-28,"B4R7657","BLUTI",6,"M","0110179088",1,2019,2017,"adult"
"1391",2019-11-13,"B4R7613","BLUTI",6,"F","011017908A",2,2019,2017,"adult"
"1392",2020-02-12,"B4R7613","BLUTI",5,"F","011017908A",2,2020,2019,"adult"
"1393",2018-10-31,"B4R7426","BLUTI",6,"F","011017908C",1,2018,2016,"adult"
"1394",2020-10-28,"B5H0006","BLUTI",2,"M","0110179092",2,2020,2020,"first.year"
"1395",2020-11-11,"B5H0006","BLUTI",3,"M","0110179092",2,2020,2020,"first.year"
"1396",2019-05-21,"B4R7539","BLUTI",5,"F","0110179096",1,2019,2018,"adult"
"1397",2018-01-21,"B4R7278","BLUTI",5,"F","011017909D",1,2018,2017,"adult"
"1399",2016-11-24,"B4P6920","BLUTI",3,"M","01101790A9",1,2016,2016,"adult"
"1400",2017-12-01,"B4R7239","BLUTI",3,"F","01101790B1",1,2017,2017,"adult"
"1401",2020-10-20,"B4R7795","BLUTI",3,"M","01101790B9",3,2020,2020,"first.year"
"1402",2020-12-02,"B4R7795","BLUTI",3,"M","01101790B9",3,2020,2020,"first.year"
"1403",2020-12-07,"B4R7795","BLUTI",3,"M","01101790B9",3,2020,2020,"first.year"
"1404",2017-11-24,"B4R7221","BLUTI",3,"M","01101790BD",5,2017,2017,"adult"
"1405",2018-01-10,"B4R7221","BLUTI",5,"F","01101790BD",5,2018,2017,"adult"
"1406",2018-05-09,"B4R7221","BLUTI",5,"M","01101790BD",5,2018,2017,"adult"
"1407",2020-11-09,"B4R7221","BLUTI",4,"M","01101790BD",5,2020,2019,"adult"
"1408",2020-11-23,"B4R7221","BLUTI",4,"M","01101790BD",5,2020,2019,"adult"
"1409",2018-08-23,"B4R7392","MARTI",2,"","01101790C3",3,2018,2018,"adult"
"1410",2018-09-21,"B4R7392","MARTI",2,"","01101790C3",3,2018,2018,"adult"
"1411",2018-10-31,"B4R7392","MARTI",2,"","01101790C3",3,2018,2018,"adult"
"1413",2020-08-19,"B4R7435","MARTI",4,"","01101790C4",2,2020,2019,"adult"
"1414",2019-10-16,"B4R7578","BLUTI",5,"M","01101790C5",1,2019,2018,"adult"
"1415",2019-11-20,"B4R7377","BLUTI",6,"F","01101790C8",1,2019,2017,"adult"
"1416",2020-05-09,"B4R7729","BLUTI",5,"F","01101790CB",2,2020,2019,"adult"
"1417",2020-12-04,"B4R7729","BLUTI",4,"F","01101790CB",2,2020,2019,"adult"
"1419",2017-11-08,"B4R7213","BLUTI",3,"M","01101790D4",1,2017,2017,"adult"
"1420",2019-02-21,"B4R7437","BLUTI",5,"M","01101790D5",2,2019,2018,"adult"
"1422",2019-12-02,"B4R7666","BLUTI",5,"F","01101790D6",1,2019,2018,"adult"
"1425",2020-11-05,"B5H0017","BLUTI",3,"M","01101790DE",1,2020,2020,"first.year"
"1427",2016-11-22,"B4R7054","MARTI",3,"","01101790F6",1,2016,2016,"adult"
"1428",2019-07-18,"B4R7566","BLUTI",3,"","01101790FE",1,2019,2019,"adult"
"1429",2019-11-28,"B4R7656","MARTI",2,"","0110179102",1,2019,2019,"adult"
"1431",2020-11-18,"B5H0076","BLUTI",4,"F","011017910A",1,2020,2019,"adult"
"1435",2018-01-21,"B4R7284","MARTI",5,"M","011017911B",1,2018,2017,"adult"
"1436",2016-11-23,"B4R7063","BLUTI",3,"M","0110179121",3,2016,2016,"adult"
"1437",2017-02-11,"B4R7063","BLUTI",5,"","0110179121",3,2017,2016,"adult"
"1438",2017-05-12,"B4R7063","BLUTI",5,"M","0110179121",3,2017,2016,"adult"
"1440",2019-12-06,"B4R7769","MARTI",2,"","011017912C",1,2019,2019,"adult"
"1442",2020-05-12,"B4R7914","BLUTI",6,"N","0110179130",1,2020,2018,"adult"
"1445",2019-10-25,"B4R7","BLUTI",5,"F","0110179141",1,2019,2018,"adult"
"1453",2016-11-04,"B1V6941","BLUTI",4,"","011017914E",3,2016,2015,"adult"
"1454",2017-02-11,"B1V6941","BLUTI",6,"","011017914E",3,2017,2015,"adult"
"1455",2017-05-13,"B1V6941","BLUTI",6,"F","011017914E",3,2017,2015,"adult"
"1456",2019-11-28,"B4R7658","BLUTI",6,"M","0110179158",1,2019,2017,"adult"
"1457",2020-02-19,"B4R7719","BLUTI",5,"F","011017915C",1,2020,2019,"adult"
"1459",2018-05-17,"B4R7310","BLUTI",6,"","0110179162",1,2018,2016,"adult"
"1461",2016-11-23,"B4R7064","BLUTI",3,"","0110179165",1,2016,2016,"adult"
"1464",2017-12-01,"B4R7244","BLUTI",3,"M","011017916D",1,2017,2017,"adult"
"1465",2017-05-15,"B4R7155","BLUTI",6,"M","011017916F",2,2017,2015,"adult"
"1466",2019-05-09,"B4R7155","BLUTI",6,"M","011017916F",2,2019,2017,"adult"
"1469",2019-11-06,"B4R7604","BLUTI",6,"F","0110179176",1,2019,2017,"adult"
"1470",2019-07-25,"B4R7571","BLUTI",3,"","0110179177",1,2019,2019,"adult"
"1471",2018-10-18,"B4R7420","BLUTI",6,"F","011017917A",1,2018,2016,"adult"
"1474",2020-09-02,"B4R7819","BLUTI",3,"M","011017917E",3,2020,2020,"first.year"
"1475",2020-11-10,"B4R7819","BLUTI",3,"M","011017917E",3,2020,2020,"first.year"
"1476",2019-03-05,"B4R7452","BLUTI",5,"F","011017917F",1,2019,2018,"adult"
"1479",2017-11-08,"B4R7215","MARTI",3,"U","011017918E",3,2017,2017,"adult"
"1480",2017-11-14,"B4R7215","MARTI",3,"U","011017918E",3,2017,2017,"adult"
"1481",2018-01-21,"B4R7215","MARTI",5,"F","011017918E",3,2018,2017,"adult"
"1483",2016-11-23,"C3L9875","GRETI",4,"F","0110179191",1,2016,2015,"adult"
"1484",2019-02-22,"C3T0786","GRETI",6,"F","0110179192",1,2019,2017,"adult"
"1485",2019-02-19,"C3T0763","GRETI",6,"M","0110179193",1,2019,2017,"adult"
"1487",2018-10-18,"B4R7417","BLUTI",5,"","01101791A3",2,2018,2017,"adult"
"1490",2017-12-01,"B4R7237","BLUTI",4,"F","01101791B1",2,2017,2016,"adult"
"1491",2017-12-01,"B4R7237","BLUTI",4,"U","01101791B1",2,2017,2016,"adult"
"1492",2018-01-10,"B4R7270","BLUTI",5,"M","01101791B6",3,2018,2017,"adult"
"1493",2018-05-14,"B4R7270","BLUTI",6,"M","01101791B6",3,2018,2016,"adult"
"1494",2018-11-07,"B4R7270","BLUTI",6,"M","01101791B6",3,2018,2016,"adult"
"1495",2020-05-05,"B4R7902","BLUTI",5,"F","01101791BA",1,2020,2019,"adult"
"1496",2017-11-24,"B4R7233","BLUTI",3,"M","01101791BC",1,2017,2017,"adult"
"1497",2020-11-10,"B4A1345","BLUTI",8,"F","01101791BD",2,2020,2017,"adult"
"1498",2020-11-13,"B4A1345","BLUTI",4,"M","01101791BD",2,2020,2019,"adult"
"1499",2018-01-09,"B4R7259","BLUTI",5,"U","01101791BE",1,2018,2017,"adult"
"1503",2017-11-24,"B4R7227","BLUTI",3,"F","01101791C6",1,2017,2017,"adult"
"1504",2020-10-28,"B5H0005","BLUTI",4,"M","01101791CA",3,2020,2019,"adult"
"1505",2020-11-11,"B5H0005","BLUTI",4,"M","01101791CA",3,2020,2019,"adult"
"1506",2020-11-24,"B5H0005","BLUTI",4,"M","01101791CA",3,2020,2019,"adult"
"1507",2020-05-11,"B4R7911","BLUTI",6,"F","01101791CD",1,2020,2018,"adult"
"1508",2018-10-18,"B4R7416","BLUTI",5,"","01101791CE",1,2018,2017,"adult"
"1511",2019-12-09,"B4R7682","BLUTI",5,"F","01101791D8",1,2019,2018,"adult"
"1513",2020-05-11,"B4R7910","BLUTI",6,"F","01101791DC",1,2020,2018,"adult"
"1514",2017-02-11,"B4R7096","BLUTI",6,"F","01101791DD",1,2017,2015,"adult"
"1515",2018-10-05,"B4R7398","BLUTI",6,"","01101791EB",2,2018,2016,"adult"
"1516",2018-10-18,"B4R7398","BLUTI",5,"","01101791EB",2,2018,2017,"adult"
"1518",2019-09-04,"B4R7574","BLUTI",4,"","01101791F1",1,2019,2018,"adult"
"1521",2017-01-29,"B4R7084","MARTI",5,"M","01101791FF",1,2017,2016,"adult"
"1522",2017-11-24,"B4R7222","BLUTI",3,"F","0110179201",1,2017,2017,"adult"
"1523",2016-11-23,"B4R7067","BLUTI",3,"M","0110179202",2,2016,2016,"adult"
"1524",2017-12-09,"B4R7067","BLUTI",4,"M","0110179202",2,2017,2016,"adult"
"1525",2020-11-13,"B4A1778","MARTI",2,"","0110179204",2,2020,2020,"first.year"
"1526",2020-11-18,"B4A1778","MARTI",2,"","0110179204",2,2020,2020,"first.year"
"1527",2019-12-04,"B4R7679","BLUTI",6,"M","0110179205",2,2019,2017,"adult"
"1528",2020-11-06,"B4R7679","BLUTI",4,"M","0110179205",2,2020,2019,"adult"
"1529",2018-01-21,"C3T0337","GRETI",6,"F","011017920B",1,2018,2016,"adult"
"1531",2018-01-09,"C3T0314","GRETI",5,"M","0110179215",1,2018,2017,"adult"
"1532",2020-05-11,"B4R7732","BLUTI",6,"F","011017921D",1,2020,2018,"adult"
"1533",2017-12-01,"B4R7238","BLUTI",3,"F","0110179222",3,2017,2017,"adult"
"1534",2018-01-25,"B4R7238","BLUTI",5,"F","0110179222",3,2018,2017,"adult"
"1535",2018-05-19,"B4R7238","BLUTI",5,"","0110179222",3,2018,2017,"adult"
"1536",2020-11-05,"B4A1778","MARTI",2,"","0110179225",1,2020,2020,"first.year"
"1539",2017-11-29,"B4R7234","MARTI",3,"U","0110179230",5,2017,2017,"adult"
"1540",2017-12-09,"B4R7234","MARTI",3,"M","0110179230",5,2017,2017,"adult"
"1541",2018-01-09,"B4R7234","MARTI",5,"U","0110179230",5,2018,2017,"adult"
"1542",2018-07-09,"B4R7234","MARTI",4,"","0110179230",5,2018,2017,"adult"
"1543",2018-08-10,"B4R7234","MARTI",4,"","0110179230",5,2018,2017,"adult"
"1545",2019-03-05,"B4R7451","BLUTI",5,"F","011017923C",1,2019,2018,"adult"
"1547",2019-11-22,"C3T0401","GRETI",6,"M","011017923F",2,2019,2017,"adult"
"1548",2018-11-07,"C3T0674","GRETI",5,"M","0110179248",1,2018,2017,"adult"
"1550",2019-11-27,"B4R7632","BLUTI",6,"F","0110179255",1,2019,2017,"adult"
"1552",2017-11-23,"B4R7219","BLUTI",3,"M","011017925D",3,2017,2017,"adult"
"1553",2017-12-09,"B4R7219","BLUTI",3,"M","011017925D",3,2017,2017,"adult"
"1554",2019-02-14,"B4R7219","BLUTI",6,"M","011017925D",3,2019,2017,"adult"
"1556",2020-02-19,"B2E7136","BLUTI",6,"F","011017926B",1,2020,2018,"adult"
"1557",2017-05-15,"B4R7156","BLUTI",6,"F","011017926C",2,2017,2015,"adult"
"1558",2018-01-21,"B4R7156","BLUTI",6,"F","011017926C",2,2018,2016,"adult"
"1559",2019-11-28,"B4R7646","BLUTI",6,"F","0110179271",1,2019,2017,"adult"
"1560",2018-01-09,"B4R7265","BLUTI",5,"F","0110179275",1,2018,2017,"adult"
"1561",2020-11-13,"B5H0065","BLUTI",3,"F","0110179278",1,2020,2020,"first.year"
"1562",2016-11-25,"B4R7075","MARTI",3,"M","011017927A",1,2016,2016,"adult"
"1563",2018-01-25,"B4R7290","BLUTI",5,"F","0110179280",1,2018,2017,"adult"
"1564",2018-10-05,"B4R7403","BLUTI",5,"","0110179285",2,2018,2017,"adult"
"1565",2018-10-18,"B4R7403","BLUTI",5,"M","0110179285",2,2018,2017,"adult"
"1566",2019-10-25,"B4R7585","MARTI",2,"","011017928C",1,2019,2019,"adult"
"1572",2018-08-23,"B4R7391","BLUTI",3,"","01101792AD",3,2018,2018,"adult"
"1573",2018-10-25,"B4R7391","BLUTI",6,"M","01101792AD",3,2018,2016,"adult"
"1574",2019-03-05,"B4R7391","BLUTI",6,"M","01101792AD",3,2019,2017,"adult"
"1575",2020-11-05,"B5H4013","BLUTI",3,"M","01101792B0",1,2020,2020,"first.year"
"1578",2018-09-06,"B4R7393","BLUTI",3,"","01101792B4",3,2018,2018,"adult"
"1580",2019-03-05,"B4R7393","BLUTI",5,"F","01101792B4",3,2019,2018,"adult"
"1581",2020-11-11,"B4A1593","BLUTI",3,"","01101792BC",1,2020,2020,"first.year"
"1582",2020-12-07,"B4R7681","BLUTI",4,"F","01101792BF",1,2020,2019,"adult"
"1584",2018-10-05,"B4R7404","BLUTI",5,"","01101792C8",3,2018,2017,"adult"
"1585",2018-10-25,"B4R7404","BLUTI",5,"F","01101792C8",3,2018,2017,"adult"
"1586",2018-10-31,"B4R7404","BLUTI",5,"F","01101792C8",3,2018,2017,"adult"
"1587",2020-11-12,"B4A1590","BLUTI",3,"M","01101792C9",1,2020,2020,"first.year"
"1590",2017-12-09,"B4R7254","BLUTI",3,"F","01101792DB",2,2017,2017,"adult"
"1591",2018-05-17,"B4R7254","BLUTI",5,"","01101792DB",2,2018,2017,"adult"
"1593",2019-12-09,"B4R7681","BLUTI",6,"F","01101792EF",1,2019,2017,"adult"
"1595",2019-02-27,"B4R7444","BLUTI",6,"F","01101792F5",1,2019,2017,"adult"
"1597",2020-11-10,"B4A1433","BLUTI",7,"F","01101792FE",1,2020,2018,"adult"
"1598",2020-11-06,"B5H0028","BLUTI",4,"M","01101792FF",1,2020,2019,"adult"
"1600",2020-05-10,"B4R7909","BLUTI",5,"F","0110179303",1,2020,2019,"adult"
"1601",2019-11-27,"B4R7642","BLUTI",5,"F","0110179304",1,2019,2018,"adult"
"1602",2018-11-07,"C3T0671","GRETI",6,"M","0110179305",1,2018,2016,"adult"
"1606",2017-05-04,"B4R7098","BLUTI",6,"F","0110179322",1,2017,2015,"adult"
"1607",2016-11-23,"B4R7069","BLUTI",3,"F","0110179324",2,2016,2016,"adult"
"1608",2018-05-14,"B4R7069","BLUTI",6,"F","0110179324",2,2018,2016,"adult"
"1609",2016-11-23,"B4R7065","BLUTI",3,"M","0110179325",1,2016,2016,"adult"
"1610",2018-10-18,"B4R7423","BLUTI",5,"M","0110179326",1,2018,2017,"adult"
"1611",2019-11-28,"B4R7649","BLUTI",5,"F","011017932F",1,2019,2018,"adult"
"1612",2019-11-11,"B4R7609","BLUTI",5,"F","0110179331",3,2019,2018,"adult"
"1613",2019-12-06,"B4R7609","BLUTI",5,"F","0110179331",3,2019,2018,"adult"
"1614",2020-11-13,"B4R7609","BLUTI",4,"F","0110179331",3,2020,2019,"adult"
"1615",2020-11-13,"B5H0063","BLUTI",3,"M","0110179336",1,2020,2020,"first.year"
"1616",2019-11-25,"B4R7626","MARTI",2,"","0110179337",1,2019,2019,"adult"
"1617",2019-12-29,"B4R7692","BLUTI",6,"M","011017933E",1,2019,2017,"adult"
"1619",2020-11-27,"B4R7782","BLUTI",3,"M","0110179341",4,2020,2020,"first.year"
"1620",2020-12-04,"B4R7782","BLUTI",3,"M","0110179341",4,2020,2020,"first.year"
"1625",2020-11-20,"B4A1885","BLUTI",4,"M","011017934F",1,2020,2019,"adult"
"1627",2019-12-31,"B4R7698","BLUTI",5,"M","011017935A",1,2019,2018,"adult"
"1629",2018-01-21,"B4R7282","BLUTI",5,"F","0110179366",1,2018,2017,"adult"
"1632",2020-10-27,"B4R7799","BLUTI",3,"F","0110179373",1,2020,2020,"first.year"
"1633",2020-05-07,"B4R7726","BLUTI",5,"F","0110179376",1,2020,2019,"adult"
"1634",2019-11-15,"B4R7618","BLUTI",6,"","011017937A",1,2019,2017,"adult"
"1636",2018-01-10,"C3T0300","GRETI",6,"M","011017937F",1,2018,2016,"adult"
"1638",2018-10-31,"B4R7428","BLUTI",5,"M","0110179382",3,2018,2017,"adult"
"1639",2019-03-05,"B4R7428","BLUTI",5,"M","0110179382",3,2019,2018,"adult"
"1640",2020-11-10,"B4R7428","BLUTI",4,"M","0110179382",3,2020,2019,"adult"
"1641",2016-11-23,"B4R7066","BLUTI",4,"M","0110179397",2,2016,2015,"adult"
"1642",2018-05-15,"B4R7066","BLUTI",6,"M","0110179397",2,2018,2016,"adult"
"1643",2019-11-13,"B4R7612","BLUTI",6,"M","01101793A0",1,2019,2017,"adult"
