"","Date","Ring","Species","Age","Sex","Pit","Num.caught","PIT.year","hatch.year","Age.in.2021"
"3737",2020-05-11,"C5A1763","GRETI",5,"M","0700EDFC5B",1,2020,2019,"adult"
"3739",2020-11-20,"C5A1870","GRETI",3,"F","0700EDFC88",2,2020,2020,"first.year"
"3740",2020-11-02,"C5H4268","GRETI",3,"M","0700EDFC95",1,2020,2020,"first.year"
"3742",2019-11-06,"C5A1253","GRETI",5,"F","0700EDFCB8",1,2019,2018,"adult"
"3744",2020-01-17,"C5A1620","GRETI",5,"M","0700EDFCCA",1,2020,2019,"adult"
"3745",2019-10-23,"C5A1129","GRETI",5,"M","0700EDFCCB",1,2019,2018,"adult"
"3746",2019-10-28,"C5A1181","GRETI",6,"F","0700EDFCE1",1,2019,2017,"adult"
"3747",2020-11-26,"C3T2846","GRETI",3,"M","0700EDFCE8",1,2020,2020,"first.year"
"3749",2020-10-22,"C5H4243","GRETI",3,"F","0700EDFCFB",1,2020,2020,"first.year"
"3751",2020-08-11,"C5H4081","NUTHA",3,"M","0700EDFD23",1,2020,2020,"first.year"
"3753",2019-12-30,"C5A1549","GRETI",5,"F","0700EDFDBC",1,2019,2018,"adult"
"3758",2020-11-05,"C3T2797","GRETI",3,"F","0700EDFE1B",3,2020,2020,"first.year"
"3759",2020-11-05,"C3T2797","GRETI",3,"F","0700EDFE1B",3,2020,2020,"first.year"
"3760",2020-12-03,"C3T2797","GRETI",3,"F","0700EDFE1B",3,2020,2020,"first.year"
"3762",2020-07-28,"C5H4120","GRETI",3,"","0700EDFE36",3,2020,2020,"first.year"
"3763",2020-08-26,"C5H4120","GRETI",3,"","0700EDFE36",3,2020,2020,"first.year"
"3764",2019-12-29,"C5A1538","GRETI",6,"M","0700EDFE44",1,2019,2017,"adult"
"3765",2020-05-11,"C5A1812","GRETI",5,"M","0700EDFE4C",1,2020,2019,"adult"
"3766",2020-11-20,"B5H0097","BLUTI",4,"M","0700EDFE5F",1,2020,2019,"adult"
"3768",2020-02-25,"C5A1722","GRETI",5,"F","0700EDFE69",1,2020,2019,"adult"
"3769",2019-11-25,"C5A1404","GRETI",6,"M","0700EDFE73",2,2019,2017,"adult"
"3770",2020-02-12,"C5A1404","GRETI",5,"M","0700EDFE73",2,2020,2019,"adult"
"3771",2020-05-10,"C5A1741","GRETI",5,"M","0700EDFE99",1,2020,2019,"adult"
"3772",2019-11-04,"C5A1233","GRETI",5,"M","0700EDFE9E",1,2019,2018,"adult"
"3773",2020-11-30,"B5H0120","BLUTI",4,"F","0700EDFEC1",2,2020,2019,"adult"
"3774",2020-12-07,"B5H0120","BLUTI",4,"F","0700EDFEC1",2,2020,2019,"adult"
"3775",2019-07-10,"C5A1016","GRETI",3,"","0700EDFED1",2,2019,2019,"adult"
"3776",2020-02-25,"C5A1016","GRETI",6,"F","0700EDFED1",2,2020,2018,"adult"
"3778",2020-08-11,"C5H4083","GRETI",3,"","0700EDFEED",1,2020,2020,"first.year"
"3779",2019-11-22,"C5A1390","GRETI",5,"F","0700EDFF13",1,2019,2018,"adult"
"3780",2020-11-20,"B5H0099","BLUTI",4,"M","0700EDFF2D",1,2020,2019,"adult"
"3781",2019-11-11,"C5A1269","GRETI",6,"M","0700EDFF7D",2,2019,2017,"adult"
"3782",2019-12-29,"C5A1269","GRETI",5,"M","0700EDFF7D",2,2019,2018,"adult"
"3785",2019-10-23,"C5A1125","GRETI",6,"M","0700EE000A",2,2019,2017,"adult"
"3786",2019-12-31,"C5A1125","GRETI",6,"M","0700EE000A",2,2019,2017,"adult"
"3787",2019-10-18,"C5A1099","GRETI",5,"F","0700EE0010",1,2019,2018,"adult"
"3790",2019-11-20,"C5A1376","GRETI",6,"M","0700EE006E",1,2019,2017,"adult"
"3792",2019-10-18,"C5A1097","GRETI",5,"F","0700EE0084",2,2019,2018,"adult"
"3793",2020-02-10,"C5A1097","GRETI",6,"M","0700EE0084",2,2020,2018,"adult"
"3796",2019-11-15,"C5A1306","GRETI",5,"M","0700EE0161",1,2019,2018,"adult"
"3798",2020-10-21,"C5H4113","GRETI",3,"F","0700EE016C",2,2020,2020,"first.year"
"3799",2020-01-16,"C5A1609","GRETI",5,"F","0700EE019B",1,2020,2019,"adult"
"3800",2019-12-28,"C5A1512","GRETI",6,"M","0700EE01A1",1,2019,2017,"adult"
"3804",2019-11-06,"C5A1254","GRETI",6,"M","0700EE01F3",1,2019,2017,"adult"
"3805",2019-11-04,"C5A1216","GRETI",6,"F","0700EE0212",1,2019,2017,"adult"
"3807",2019-11-20,"C5A1358","GRETI",5,"F","0700EE0249",1,2019,2018,"adult"
"3808",2020-11-03,"C5H4283","GRETI",3,"F","0700EE0277",1,2020,2020,"first.year"
"3811",2020-09-28,"C5H4139","GRETI",4,"F","0700EE02A2",3,2020,2019,"adult"
"3812",2020-11-06,"C5H4139","GRETI",3,"F","0700EE02A2",3,2020,2020,"first.year"
"3813",2020-11-26,"C5H4139","GRETI",4,"F","0700EE02A2",3,2020,2019,"adult"
"3816",2020-02-04,"C5A1650","GRETI",5,"F","0700EE02D1",1,2020,2019,"adult"
"3817",2020-11-06,"C5H4176","GRETI",4,"F","0700EE032B",1,2020,2019,"adult"
"3818",2020-11-11,"C5H4317","GRETI",3,"F","0700EE033D",1,2020,2020,"first.year"
"3820",2019-07-10,"C5A1008","GRETI",3,"","0700EE035B",1,2019,2019,"adult"
"3823",2019-10-16,"C5A1090","GRETI",6,"M","0700EE03B9",1,2019,2017,"adult"
"3827",2020-10-09,"C5H4169","GRETI",3,"M","0700EE03D4",2,2020,2020,"first.year"
"3828",2020-11-17,"C5H4169","GRETI",4,"M","0700EE03D4",2,2020,2019,"adult"
"3829",2020-12-11,"C5H4413","GRETI",3,"F","0700EE03DB",1,2020,2020,"first.year"
"3830",2019-11-13,"C5A1286","GRETI",6,"M","0700EE0409",2,2019,2017,"adult"
"3831",2020-01-30,"C5A1286","GRETI",5,"M","0700EE0409",2,2020,2019,"adult"
"3832",2019-10-30,"C5A1203","GRETI",6,"F","0700EE0424",1,2019,2017,"adult"
"3834",2019-11-20,"C5A1364","GRETI",6,"M","0700EE0449",1,2019,2017,"adult"
"3835",2019-10-23,"C5A1139","GRETI",5,"M","0700EE046D",3,2019,2018,"adult"
"3836",2020-02-10,"C5A1139","GRETI",5,"F","0700EE046D",3,2020,2019,"adult"
"3837",2020-02-25,"C5A1139","GRETI",5,"F","0700EE046D",3,2020,2019,"adult"
"3838",2020-05-08,"C5A1737","GRETI",5,"M","0700EE0474",1,2020,2019,"adult"
"3840",2020-01-15,"C5A1604","GRETI",6,"F","0700EE047E",1,2020,2018,"adult"
"3841",2019-10-30,"C3L9882","GRETI",6,"M","0700EE04AB",1,2019,2017,"adult"
"3842",2020-01-11,"C5A1595","GRETI",5,"F","0700EE04AD",1,2020,2019,"adult"
"3843",2019-12-30,"C5A1553","GRETI",5,"M","0700EE04B6",2,2019,2018,"adult"
"3844",2020-02-12,"C5A1553","GRETI",6,"M","0700EE04B6",2,2020,2018,"adult"
"3845",2019-10-28,"C5A1182","GRETI",6,"M","0700EE04C8",1,2019,2017,"adult"
"3846",2019-12-29,"C5A1531","GRETI",5,"M","0700EE04EC",2,2019,2018,"adult"
"3847",2020-12-03,"C5A1531","GRETI",4,"M","0700EE04EC",2,2020,2019,"adult"
"3849",2019-12-09,"C5A1497","GRETI",6,"M","0700EE0519",1,2019,2017,"adult"
"3850",2020-11-20,"C5H4366","GRETI",3,"F","0700EE0571",1,2020,2020,"first.year"
"3851",2020-01-16,"C5A1615","GRETI",5,"M","0700EE0594",1,2020,2019,"adult"
"3852",2020-11-03,"C5H4282","GRETI",3,"M","0700EE05C0",1,2020,2020,"first.year"
"3854",2019-12-29,"C5A1530","GRETI",5,"M","0700EE05EC",3,2019,2018,"adult"
"3855",2019-12-29,"C5A1530","GRETI",5,"M","0700EE05EC",3,2019,2018,"adult"
"3856",2020-12-03,"C5A1530","GRETI",4,"M","0700EE05EC",3,2020,2019,"adult"
"3857",2020-11-30,"C5H4382","GRETI",3,"F","0700EE05F1",1,2020,2020,"first.year"
"3858",2019-11-04,"C5A1225","GRETI",6,"M","0700EE0619",3,2019,2017,"adult"
"3859",2020-09-28,"C5A1225","GRETI",4,"M","0700EE0619",3,2020,2019,"adult"
"3860",2020-11-06,"C5A1225","GRETI",4,"M","0700EE0619",3,2020,2019,"adult"
"3861",2019-10-28,"C5A1196","GRETI",6,"M","0700EE062B",2,2019,2017,"adult"
"3862",2019-12-06,"C5A1196","GRETI",6,"M","0700EE062B",2,2019,2017,"adult"
"3863",2019-10-28,"C5A1198","GRETI",5,"F","0700EE0636",1,2019,2018,"adult"
"3864",2020-12-11,"C5H4406","GRETI",4,"M","0700EE063C",1,2020,2019,"adult"
"3865",2020-09-28,"C5H4149","GRETI",3,"M","0700EE0640",2,2020,2020,"first.year"
"3866",2020-11-17,"C5H4149","GRETI",3,"M","0700EE0640",2,2020,2020,"first.year"
"3867",2020-11-30,"C5H4383","GRETI",3,"M","0700EE0662",1,2020,2020,"first.year"
"3868",2019-11-18,"C5A1338","GRETI",6,"M","0700EE0664",1,2019,2017,"adult"
"3870",2019-07-10,"C5A1009","GRETI",3,"","0700EE06B9",3,2019,2019,"adult"
"3872",2019-07-31,"C5A1009","GRETI",3,"","0700EE06B9",3,2019,2019,"adult"
"3873",2020-02-19,"C5A1712","GRETI",5,"F","0700EE06BD",1,2020,2019,"adult"
"3875",2020-08-11,"C5A1920","GRETI",3,"","0700EE0705",1,2020,2020,"first.year"
"3878",2020-02-04,"C5A1641","GRETI",6,"M","0700EE0749",1,2020,2018,"adult"
"3879",2020-10-19,"C5H4209","GRETI",3,"F","0700EE0754",1,2020,2020,"first.year"
"3880",2019-05-23,"C3T0961","GRETI",5,"F","0700EE075F",1,2019,2018,"adult"
"3881",2020-11-30,"C5H4384","GRETI",3,"M","0700EE078B",1,2020,2020,"first.year"
"3882",2020-01-09,"C5A1574","GRETI",6,"M","0700EE079E",1,2020,2018,"adult"
"3885",2019-11-06,"C5A1250","GRETI",5,"F","0700EE084D",1,2019,2018,"adult"
"3890",2020-12-02,"C5A1725","GRETI",4,"M","0700EE08C4",2,2020,2019,"adult"
"3891",2020-11-17,"C5H4343","GRETI",3,"M","0700EE08C7",1,2020,2020,"first.year"
"3892",2020-11-05,"C5H4299","GRETI",3,"F","0700EE0903",2,2020,2020,"first.year"
"3893",2020-12-03,"C5H4299","GRETI",3,"F","0700EE0903",2,2020,2020,"first.year"
"3894",2019-10-23,"C5A1124","GRETI",5,"F","0700EE0916",1,2019,2018,"adult"
"3896",2019-11-18,"C5A1351","GRETI",6,"M","0700EE09A3",2,2019,2017,"adult"
"3897",2020-02-12,"C5A1351","GRETI",6,"M","0700EE09A3",2,2020,2018,"adult"
"3898",2020-02-04,"C5A1648","GRETI",5,"M","0700EE09DE",1,2020,2019,"adult"
"3899",2019-11-11,"C5A1280","GRETI",5,"F","0700EE09EC",1,2019,2018,"adult"
"3900",2020-01-18,"C5A1633","GRETI",5,"F","0700EE0A04",1,2020,2019,"adult"
"3901",2020-05-14,"C5A1775","GRETI",5,"F","0700EE0A13",1,2020,2019,"adult"
"3902",2019-11-13,"C3T0915","GRETI",6,"M","0700EE0A1F",2,2019,2017,"adult"
"3903",2020-02-19,"C3T0915","GRETI",6,"M","0700EE0A1F",2,2020,2018,"adult"
"3905",2020-07-28,"C5A1971","GRETI",3,"","0700EE0A82",3,2020,2020,"first.year"
"3906",2020-10-27,"C5A1971","GRETI",3,"M","0700EE0A82",3,2020,2020,"first.year"
"3908",2019-10-28,"C5A1185","GRETI",6,"M","0700EE0AB3",2,2019,2017,"adult"
"3909",2020-12-03,"C5A1185","GRETI",4,"M","0700EE0AB3",2,2020,2019,"adult"
"3910",2020-02-18,"C5A1704","GRETI",5,"F","0700EE0ABD",1,2020,2019,"adult"
"3912",2020-08-11,"C5H4117","GRETI",3,"","0700EE0AC0",3,2020,2020,"first.year"
"3913",2020-08-11,"C5H4117","GRETI",3,"","0700EE0AC0",3,2020,2020,"first.year"
"3916",2019-07-31,"C5A1050","GRETI",3,"","0700EE0B12",1,2019,2019,"adult"
"3917",2020-01-10,"C5A1588","GRETI",6,"F","0700EE0B1C",1,2020,2018,"adult"
"3918",2020-02-19,"C5A1715","GRETI",6,"F","0700EE0B34",1,2020,2018,"adult"
"3919",2020-10-09,"C5H4166","GRETI",3,"M","0700EE0B49",1,2020,2020,"first.year"
"3921",2020-02-25,"C3T0990","GRETI",5,"M","0700EE0B4D",2,2020,2019,"adult"
"3922",2019-11-27,"C5A1428","GRETI",6,"F","0700EE0B55",1,2019,2017,"adult"
"3924",2019-10-16,"C5A1075","GRETI",5,"F","0700EE0BAF",1,2019,2018,"adult"
"3925",2019-11-27,"C5A1408","GRETI",5,"F","0700EE0BBA",1,2019,2018,"adult"
"3927",2020-12-04,"B4R7936","BLUTI",4,"F","0700EE0C24",1,2020,2019,"adult"
"3928",2019-11-27,"C5A1413","GRETI",5,"F","0700EE0C42",1,2019,2018,"adult"
"3929",2020-05-05,"C5A1733","GRETI",5,"M","0700EE0C56",1,2020,2019,"adult"
"3930",2020-11-18,"B5H0077","BLUTI",4,"M","0700EE0C65",1,2020,2019,"adult"
"3931",2019-10-18,"C5A1116","GRETI",5,"F","0700EE0C93",2,2019,2018,"adult"
"3932",2019-10-25,"C5A1116","GRETI",6,"F","0700EE0C93",2,2019,2017,"adult"
"3933",2020-11-20,"C5H4356","GRETI",3,"F","0700EE0C94",1,2020,2020,"first.year"
"3934",2020-11-06,"C5H4177","GRETI",3,"F","0700EE0CA7",1,2020,2020,"first.year"
"3935",2019-12-02,"C5A1448","GRETI",5,"F","0700EE0CBD",2,2019,2018,"adult"
"3936",2019-12-28,"C5A1448","GRETI",6,"F","0700EE0CBD",2,2019,2017,"adult"
"3937",2019-12-02,"C5A1462","GRETI",5,"M","0700EE0CC3",1,2019,2018,"adult"
"3939",2019-10-28,"C5A1183","GRETI",5,"F","0700EE0CDB",2,2019,2018,"adult"
"3940",2019-12-29,"C5A1183","GRETI",5,"F","0700EE0CDB",2,2019,2018,"adult"
"3941",2019-12-06,"C5A1491","GRETI",2,"F","0700EE0CF1",4,2019,2019,"adult"
"3942",2019-12-29,"C5A1491","GRETI",6,"F","0700EE0CF1",4,2019,2017,"adult"
